hawker_center_id,timestamp,hour,minute,is_weekend,is_peak_hours,available_lots,occupancy_rate,num_full_carparks,num_bus_services,bus_frequency,buses_arriving_soon,monday,tuesday,wednesday,thursday,friday,saturday,sunday,crowd_level
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-10 00:36:06.911520,0,0,0,0,0.5,0.5,0,1.9,0.5,0.95,1,0,0,0,0,0,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-10 03:36:06.911568,3,0,0,0,0.5,0.5,0,1.9,0.5,0.95,1,0,0,0,0,0,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-10 06:36:06.911581,6,0,0,0,0.5,0.5,0,1.9,0.5,0.95,1,0,0,0,0,0,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-10 09:36:06.911593,9,0,0,1,0.5,0.5,0,1.9,0.26666666666666666,1.9,1,0,0,0,0,0,0,Medium
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-10 12:36:06.911602,12,0,0,1,0.5,0.5,0,1.9,0.26666666666666666,1.9,1,0,0,0,0,0,0,High
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-10 15:36:06.911613,15,0,0,0,0.5,0.5,0,1.9,0.5,0.95,1,0,0,0,0,0,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-10 18:36:06.911622,18,0,0,1,0.5,0.5,0,1.9,0.26666666666666666,1.9,1,0,0,0,0,0,0,Medium
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-10 21:36:06.911630,21,0,0,0,0.5,0.5,0,1.9,0.5,0.95,1,0,0,0,0,0,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-09 00:36:06.911639,0,0,0,0,0.5,0.5,0,1.9,0.5,0.95,0,1,0,0,0,0,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-09 03:36:06.911647,3,0,0,0,0.5,0.5,0,1.9,0.5,0.95,0,1,0,0,0,0,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-09 06:36:06.911655,6,0,0,0,0.5,0.5,0,1.9,0.5,0.95,0,1,0,0,0,0,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-09 09:36:06.911662,9,0,0,1,0.5,0.5,0,1.9,0.26666666666666666,1.9,0,1,0,0,0,0,0,Medium
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-09 12:36:06.911670,12,0,0,1,0.5,0.5,0,1.9,0.26666666666666666,1.9,0,1,0,0,0,0,0,High
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-09 15:36:06.911678,15,0,0,0,0.5,0.5,0,1.9,0.5,0.95,0,1,0,0,0,0,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-09 18:36:06.911685,18,0,0,1,0.5,0.5,0,1.9,0.26666666666666666,1.9,0,1,0,0,0,0,0,Medium
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-09 21:36:06.911693,21,0,0,0,0.5,0.5,0,1.9,0.5,0.95,0,1,0,0,0,0,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-08 00:36:06.911700,0,0,0,0,0.5,0.5,0,1.9,0.5,0.95,0,0,1,0,0,0,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-08 03:36:06.911708,3,0,0,0,0.5,0.5,0,1.9,0.5,0.95,0,0,1,0,0,0,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-08 06:36:06.911715,6,0,0,0,0.5,0.5,0,1.9,0.5,0.95,0,0,1,0,0,0,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-08 09:36:06.911721,9,0,0,1,0.5,0.5,0,1.9,0.26666666666666666,1.9,0,0,1,0,0,0,0,Medium
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-08 12:36:06.911728,12,0,0,1,0.5,0.5,0,1.9,0.26666666666666666,1.9,0,0,1,0,0,0,0,High
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-08 15:36:06.911735,15,0,0,0,0.5,0.5,0,1.9,0.5,0.95,0,0,1,0,0,0,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-08 18:36:06.911743,18,0,0,1,0.5,0.5,0,1.9,0.26666666666666666,1.9,0,0,1,0,0,0,0,Medium
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-08 21:36:06.911752,21,0,0,0,0.5,0.5,0,1.9,0.5,0.95,0,0,1,0,0,0,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-07 00:36:06.911760,0,0,0,0,0.5,0.5,0,1.9,0.5,0.95,0,0,0,1,0,0,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-07 03:36:06.911767,3,0,0,0,0.5,0.5,0,1.9,0.5,0.95,0,0,0,1,0,0,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-07 06:36:06.911774,6,0,0,0,0.5,0.5,0,1.9,0.5,0.95,0,0,0,1,0,0,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-07 09:36:06.911781,9,0,0,1,0.5,0.5,0,1.9,0.26666666666666666,1.9,0,0,0,1,0,0,0,Medium
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-07 12:36:06.911788,12,0,0,1,0.5,0.5,0,1.9,0.26666666666666666,1.9,0,0,0,1,0,0,0,High
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-07 15:36:06.911795,15,0,0,0,0.5,0.5,0,1.9,0.5,0.95,0,0,0,1,0,0,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-07 18:36:06.911802,18,0,0,1,0.5,0.5,0,1.9,0.26666666666666666,1.9,0,0,0,1,0,0,0,Medium
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-07 21:36:06.911809,21,0,0,0,0.5,0.5,0,1.9,0.5,0.95,0,0,0,1,0,0,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-06 00:36:06.911817,0,0,0,0,0.5,0.5,0,1.9,0.5,0.95,0,0,0,0,1,0,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-06 03:36:06.911825,3,0,0,0,0.5,0.5,0,1.9,0.5,0.95,0,0,0,0,1,0,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-06 06:36:06.911831,6,0,0,0,0.5,0.5,0,1.9,0.5,0.95,0,0,0,0,1,0,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-06 09:36:06.911839,9,0,0,1,0.5,0.5,0,1.9,0.26666666666666666,1.9,0,0,0,0,1,0,0,Medium
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-06 12:36:06.911846,12,0,0,1,0.5,0.5,0,1.9,0.26666666666666666,1.9,0,0,0,0,1,0,0,High
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-06 15:36:06.911853,15,0,0,0,0.5,0.5,0,1.9,0.5,0.95,0,0,0,0,1,0,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-06 18:36:06.911860,18,0,0,1,0.5,0.5,0,1.9,0.26666666666666666,1.9,0,0,0,0,1,0,0,Medium
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-06 21:36:06.911867,21,0,0,0,0.5,0.5,0,1.9,0.5,0.95,0,0,0,0,1,0,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-05 00:36:06.911880,0,0,1,0,0.5,0.5,0,1.9,0.5,0.95,0,0,0,0,0,1,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-05 03:36:06.911889,3,0,1,0,0.5,0.5,0,1.9,0.5,0.95,0,0,0,0,0,1,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-05 06:36:06.911896,6,0,1,0,0.5,0.5,0,1.9,0.5,0.95,0,0,0,0,0,1,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-05 09:36:06.911903,9,0,1,1,0.5,0.5,0,1.9,0.26666666666666666,1.9,0,0,0,0,0,1,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-05 12:36:06.911913,12,0,1,1,0.5,0.5,0,1.9,0.26666666666666666,1.9,0,0,0,0,0,1,0,High
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-05 15:36:06.911921,15,0,1,0,0.5,0.5,0,1.9,0.5,0.95,0,0,0,0,0,1,0,Medium
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-05 18:36:06.911928,18,0,1,1,0.5,0.5,0,1.9,0.26666666666666666,1.9,0,0,0,0,0,1,0,High
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-05 21:36:06.911936,21,0,1,0,0.5,0.5,0,1.9,0.5,0.95,0,0,0,0,0,1,0,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-04 00:36:06.911943,0,0,1,0,0.5,0.5,0,1.9,0.5,0.95,0,0,0,0,0,0,1,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-04 03:36:06.911950,3,0,1,0,0.5,0.5,0,1.9,0.5,0.95,0,0,0,0,0,0,1,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-04 06:36:06.911957,6,0,1,0,0.5,0.5,0,1.9,0.5,0.95,0,0,0,0,0,0,1,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-04 09:36:06.911964,9,0,1,1,0.5,0.5,0,1.9,0.26666666666666666,1.9,0,0,0,0,0,0,1,Low
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-04 12:36:06.911971,12,0,1,1,0.5,0.5,0,1.9,0.26666666666666666,1.9,0,0,0,0,0,0,1,High
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-04 15:36:06.911979,15,0,1,0,0.5,0.5,0,1.9,0.5,0.95,0,0,0,0,0,0,1,Medium
ChIJseQsTQ0Z2jERqpBTWF0Zf84,2025-04-04 18:36:06.911985,18,0,1,1,0.5,0.5,0,1.9,0.26666666666666666,1.9,0,0,0,0,0,0,1,High
